seed,pre_train_length_accuracy,pre_rotation_order,pre_reflection_involution,pre_conjugation,pre_reflection_orthogonality,post_rotation_order,post_reflection_involution,post_conjugation,post_reflection_orthogonality,reflection_projection_distance,angle_projection_distance,learned_canonical_accuracy,raw_legalized_accuracy,raw_legalized_min_margin,quotient_block_accuracy,quotient_block_min_margin,quotient_full_accuracy,quotient_full_min_margin,global_full_accuracy,global_full_min_margin,quotient_block_alignment_error,quotient_full_alignment_error,global_full_alignment_error
0,1.0,0.9776294117265887,0.8506556250297013,0.8506095261552561,0.8506557794072235,3.331782070444707e-14,1.1384757864326985e-15,1.2262814116578437e-15,1.1999587924759576e-15,1.0449885329404778,0.015834760730842324,1.0,1.0,1.0970416063383697,1.0,2.9197019563434816,1.0,3.0438161807447788,1.0,1.4403927726437393,0.22219496761789045,0.21734865058631594,0.33623845383798057
1,1.0,1.0036693967944894,0.8486175206333049,0.8486169408285845,0.8486320762578892,2.7444467913632477e-14,8.012412613302908e-16,9.28879225241625e-16,8.012412613302908e-16,1.0361373253254396,0.021169491308126172,1.0,0.9900990099009901,-0.19296001551609,1.0,2.0410135366042415,1.0,1.9968322220828902,0.9702970297029703,-0.4515901470789627,0.2589613135873728,0.2576183355706096,0.424915133362731
2,1.0,1.6358006558351512,0.8499170612217659,0.8497458023211798,0.8499381807160264,3.919860126290071e-14,6.474982735028398e-16,6.49296592341563e-16,6.478787208431128e-16,1.0393356166281098,0.02465717520017331,1.0,0.9603960396039604,-0.5964998388023259,1.0,2.2906802461085993,1.0,2.569583065192015,1.0,0.220935125186708,0.28352184084451176,0.26767791563788595,0.4440488471323808
3,1.0,0.7113640844959364,0.8527362811226314,0.8527592609076529,0.8528011692627331,2.7444467913632477e-14,1.4097979856457234e-15,1.2565111190767203e-15,1.4097979856457234e-15,1.0552373892237181,0.012192295732863479,1.0,1.0,2.4522104559364006,1.0,3.216039148947842,1.0,3.1767262428174394,1.0,2.358671689267844,0.2012285093752142,0.20071601301028028,0.28174034354059146
4,1.0,0.978171793085898,0.8503491316620376,0.8503578157154854,0.8503690961140381,2.5477605267357653e-14,6.703424229100506e-16,6.888752704931532e-16,7.782713803921058e-16,1.0452598034215628,0.014263869748591122,1.0,1.0,2.2933161344600164,1.0,3.404240103754816,1.0,3.3698058833437656,1.0,2.2734191274664255,0.2122967369357711,0.21193779866074042,0.30155880300537086
5,1.0,0.7504079275132528,0.8456790899138785,0.8456774694657019,0.8456852107679759,3.723916638426495e-14,6.477206418399103e-16,7.447602459741819e-16,8.266670077560356e-16,1.0452908876367646,0.012090413910395812,1.0,1.0,2.2435911055249917,1.0,3.249324415552409,1.0,3.2200898315517232,1.0,2.5245068346588893,0.19962132318238296,0.19515186492069514,0.2764191605930466
6,1.0,0.9149246426729926,0.8576067537902875,0.8576050801304708,0.8576071179694819,3.821888382358283e-14,1.2004180383289349e-15,1.1905815549843721e-15,1.2004180383289349e-15,1.0468118350567472,0.015461638988518604,1.0,1.0,1.461852706373576,1.0,2.498361029646455,1.0,2.4900861868106636,1.0,1.7513426094742188,0.220039341951134,0.21834758041206423,0.3069628421550882
7,1.0,1.0906166261448074,0.8586086458832111,0.8585440103913218,0.858609018922614,1.8619583192132475e-14,1.449402116257215e-15,1.2561949475544678e-15,1.449402116257215e-15,1.0513752749018992,0.01798580979324155,1.0,1.0,0.6549116127991983,1.0,2.1081261088397163,1.0,2.0496351870896214,1.0,0.9636335536100029,0.2371710548261196,0.23207895133094475,0.35310009985292806
8,1.0,0.9592551258119183,0.8524055806615934,0.8524145860525069,0.8524819624510953,2.1558735510086122e-14,1.3435297024754605e-15,1.227537204523176e-15,1.3419482779086007e-15,1.0450575867664602,0.016311816593796286,1.0,1.0,1.8323369920736567,1.0,3.1343872797317465,1.0,3.094301633272896,1.0,2.113557582681336,0.22530244139411135,0.2216296162793039,0.3345038497177032
9,1.0,1.8093548896470457,0.8541549794666917,0.8541204421953079,0.8541597334876745,2.7444467913632477e-14,8.482512408435975e-16,7.631521572941402e-16,7.5239086370205e-16,1.0492125313767473,0.027979607230664148,1.0,0.9900990099009901,-0.28120714204784125,1.0,2.4755111345264256,1.0,2.506089273318966,1.0,1.8285403746238273,0.30950659479657333,0.30503599200271475,0.4015283065251359
