seed,state_relation_defect,pre_L16,post_L16,post_L1024,pre_prototype_accuracy,projected_prototype_accuracy,pre_min_true_margin,projected_min_true_margin,max_snap_distance,mean_snap_distance,cauchy_min_slack,cauchy_certified,exhaustive_orbit_certified,projected_radius
0,0.7256135620255496,1.0,1.0,1.0,1.0,1.0,1.267322485067615,0.047757533959621234,0.7194330635900891,0.3723610245559835,-2.7841652625518574,False,True,0.4676585063344273
1,0.9094931458032274,0.99609375,0.81640625,0.822479248046875,0.9801980198019802,0.8217821782178217,-0.3469618142739117,-1.2665480240968456,0.9022707073827313,0.473626165027875,-4.0120933483601755,False,False,0.40681655020293434
2,0.6924379364163721,1.0,1.0,1.0,1.0,1.0,1.018433762381866,0.2767075738970153,0.6868302882172859,0.3593763708959477,-2.690277894816573,False,True,0.46208215521599744
3,0.442659068436535,1.0,1.0,1.0,1.0,1.0,2.0080733286282113,1.3739626790629709,0.43842936295268764,0.22111392751815295,-0.7049858536469715,False,True,0.45348805264176384
4,0.6686593668077198,1.0,1.0,1.0,1.0,1.0,1.7641624453788634,0.814294415166807,0.6631486513559879,0.34567940931583524,-2.0296466184816015,False,True,0.49296271972846994
5,0.7704093708801554,0.9912109375,0.8896484375,0.8321075439453125,0.9801980198019802,0.8316831683168316,-0.7844883311779522,-1.0147631244411333,0.7639302024321989,0.39640618806126693,-3.8695555441352605,False,False,0.4992427142572299
6,0.7035617055913539,1.0,0.98046875,0.9802703857421875,1.0,0.9801980198019802,1.0907805849365015,-0.08742349361847612,0.6978979708577334,0.3655368194282369,-2.3394591965880567,False,False,0.5581168894215147
7,0.9580467000203443,0.9814453125,0.4951171875,0.4665679931640625,0.9306930693069307,0.46534653465346537,-1.2277536435169192,-2.671325394495624,0.952536334343809,0.5303739798185951,-4.555487054404976,False,False,0.3999150574603652
8,0.4956442528135077,1.0,1.0,1.0,1.0,1.0,1.7009290858651074,0.5575466422757493,0.4909194566067483,0.24772322187637397,-0.995543193922396,False,True,0.42721377163281427
9,0.8755662030071242,0.99609375,0.7138671875,0.751922607421875,0.9702970297029703,0.7524752475247525,-0.3505029791178176,-1.7832710669633287,0.8682380133713788,0.4511222261219525,-4.458217457872207,False,False,0.4711727745125508
