seed,pre_train_length_accuracy,pre_rotation_order,pre_reflection_involution,pre_conjugation,pre_reflection_orthogonality,post_rotation_order,post_reflection_involution,post_conjugation,post_reflection_orthogonality,reflection_projection_distance,angle_projection_distance,learned_canonical_accuracy,raw_legalized_accuracy,raw_legalized_min_margin,quotient_block_accuracy,quotient_block_min_margin,quotient_full_accuracy,quotient_full_min_margin,global_full_accuracy,global_full_min_margin,quotient_block_alignment_error,quotient_full_alignment_error,global_full_alignment_error
0,1.0,0.3840474144906802,0.8343634461978877,0.8343441219033906,0.8343634721456814,9.799650315725178e-15,9.00391239056414e-16,6.843874359417885e-16,8.970064831863323e-16,1.0078999585914987,0.023722486247020346,1.0,1.0,2.9969906403678954,1.0,3.173178988079792,1.0,3.2122452207282874,1.0,3.0531165364615402,0.1722455537547724,0.16759852022601338,0.19947078004733945
1,1.0,0.4798359191887601,0.8332557041560316,0.8332318605230803,0.8336948794915282,1.0779367755043061e-14,9.192954815135383e-16,7.488863730937846e-16,9.295776464464944e-16,1.0062104206394444,0.022030755614448984,1.0,1.0,3.6857515044169573,1.0,3.811279181499927,1.0,3.8308250421680317,1.0,3.6183834968692388,0.17002499553709935,0.16789491822136773,0.19730504379778413
2,1.0,0.8813200251524973,0.8484539767143252,0.8484335825716773,0.8484546671669704,9.799650315725178e-15,1.4070079259302135e-15,1.3276336411462306e-15,1.405147583666234e-15,1.0091689523441563,0.04425445008989344,1.0,1.0,1.7203552513533538,1.0,2.855919348890245,1.0,2.9315289813673093,1.0,1.9849976952966646,0.20445029055104263,0.19520994981933337,0.2757791875123567
3,1.0,0.22294976453665027,0.826317476383745,0.8261818637222997,0.8263175281516683,1.0779367755043061e-14,1.2962018805113904e-15,1.2462222543165673e-15,1.2962018805113904e-15,1.0167570405015731,0.01307451417010888,1.0,1.0,3.3230649687718024,1.0,3.5766582400793516,1.0,3.604060367277695,1.0,3.3658555530627496,0.16311802153317084,0.16229547461787103,0.17498741374653842
4,1.0,0.5649651688614724,0.8305938006638718,0.8305357090911549,0.8307418058638046,9.799650315725178e-15,1.1991905409524754e-15,1.1905815549843721e-15,1.2208824348837682e-15,1.0051065129141683,0.027036341630963627,1.0,1.0,3.01351159303688,1.0,3.5512117060421184,1.0,3.547457126847184,1.0,3.070553840659084,0.1760854849054631,0.1725056376584729,0.21820255320074636
