seed,raw_accuracy,generator_transport_accuracy,generator_transport_min_margin,max_q_difference_vs_orbit,generator_alignment_error,orbit_alignment_error,post_relation_max_defect
0,1.0,1.0,2.9197253296890198,5.96506000879648e-15,0.22219414591647058,0.22219414591647066,3.331782070444707e-14
1,0.9900990099009901,1.0,2.044145752264166,6.268951752341709e-15,0.258936564794042,0.258936564794042,2.7444467913632477e-14
2,0.9603960396039604,1.0,2.290592684985879,1.1091747567606338e-14,0.2835201008000609,0.2835201008000609,3.919860126290071e-14
3,1.0,1.0,3.2162950132098667,8.35521201886541e-15,0.20123206132240898,0.20123206132240898,2.7444467913632477e-14
4,1.0,1.0,3.4042399015571156,7.278737641525458e-15,0.21228474354722524,0.21228474354722524,2.5477605267357653e-14
